"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Aramis CCS storage phase 1",32,"Netherlands","TotalEnergies, Shell, EBN, Gasunie, ","Storage",2019,2025,2029,,"Planned",1,7.7,7.7,"Storage","Dedicated storage","Aramis CCS","Europe","https://www.frontiersin.org/articles/10.3389/fenrg.2021.644796/full","https://www.aramis-ccs.com/faq","https://ec.europa.eu/eusurvey/runner/Consultation_PCIcandidates_CO2networks","https://www.staten-generaal.nl/9370000/1/j4nvgs5kjg27kof_j9vvkfvj6b325az/vlutrvd2g2y4","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Aramis CCS storage phase 2",33,"Netherlands","TotalEnergies, Shell, EBN, Gasunie","Storage",2019,,2030,,"Planned",2,3.1,3.1,"Storage","Dedicated storage","Aramis CCS","Europe","https://www.frontiersin.org/articles/10.3389/fenrg.2021.644796/full","https://ec.europa.eu/eusurvey/runner/Consultation_PCIcandidates_CO2networks","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,,,"Link 1","Link 2","Link 3","","","",""
"Aramis CCS transport phase 1",19,"Netherlands","TotalEnergies, Shell, EBN, Gasunie, ","Transport",2019,2025,2029,,"Planned",1,22,22,"Transport","Dedicated storage","Aramis CCS","Europe","https://www.frontiersin.org/articles/10.3389/fenrg.2021.644796/full","https://www.aramis-ccs.com/faq","https://ec.europa.eu/eusurvey/runner/Consultation_PCIcandidates_CO2networks","https://www.staten-generaal.nl/9370000/1/j4nvgs5kjg27kof_j9vvkfvj6b325az/vlutrvd2g2y4","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Arcelor LanzaTech Carbalyst (Steelanol) Ghent",34,"Belgium","ArcelorMittal, LanzaTech, Primetals Technologies, E4tech","CCU",2011,2015,2022,,"Operational",,0.125,0.125,"Iron and steel","Use",,"Europe","http://www.steelanol.eu/en","https://corporate.arcelormittal.com/climate-action/decarbonisation-technologies/carbalyst-capturing-and-re-using-our-carbon-rich-waste-gases-to-make-valuable-chemical-products","https://www.eib.org/en/projects/pipelines/all/20170622","https://www.globenewswire.com/news-release/2022/12/08/2569976/0/en/ArcelorMittal-S-A-ArcelorMittal-inaugurates-flagship-carbon-capture-and-utilisation-project-at-its-steel-plant-in-Ghent-Belgium.html",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Arcelor Mittal Air Liquide Low-carbon steel (phase 2?)",582,"France","Arcelor Mittal, Air Liquide","Capture",2020,,,,"Planned",2,"1 - 2.85",1,"Iron and steel","Dedicated storage",,"Europe","https://corporate.arcelormittal.com/media/press-releases/arcelormittal-accelerates-its-decarbonisation-with-a-1-7-billion-investment-programme-in-france-supported-by-the-french-government",,,,,,,"Link 1","","","","","",""
"ARGO waste-to-energy plant",729,"Denmark","ARGO","Capture",2021,,2030,,"Planned",,,,"Power and heat","Unknown/unspecified",,"Europe","https://www.c4cph.dk/",,,,,,,"Link 1","","","","","",""
"Aries (LA)",881,"United States","ExxonMobil (formerly Denbury carbon solutions)","Storage",2022,,2026,,"Planned",,"10 - 20",10,"Storage","Unknown/unspecified",,"North America","https://www.denbury.com/operations/carbon-solutions/carbon-sequestration/","https://s201.q4cdn.com/317576541/files/doc_presentation/2023/02/DEN-March-Presentation-vFINAL.pdf",,,,,,"Link 1","Link 2","","","","",""
"Arkalon CO2 Compression Facility (KS)",35,"United States","Conestoga Energy","Full chain",,,2009,,"Operational",,"0.19 - 0.31",0.31,"Biofuels","EOR",,"North America","https://www.energy.gov/sites/prod/files/2017/12/f46/jordan_bioeconomy_2017.pdf","https://www.netl.doe.gov/sites/default/files/2018-11/Farnsworth-Unit-Project.pdf",,,,,,"Link 1","Link 2","","","","",""
"Arthit offshore gas field CCS",36,"Thailand","PTTEP, Honeywell (tech and FEED)","Full chain",2021,,2027,,"Planned",,,,"Natural gas processing/LNG","Dedicated storage",,"Other Asia Pacific","https://www.pttep.com/en/Newsandnmedia/Mediacorner/Pressreleases/Pttep-Initiates-Thailand-First-Ccs-Project-Pushing-Towards-Net-Zero-Green-House-Gas-Emissions.aspx","https://en.prnasia.com/releases/apac/honeywell-provides-carbon-capture-technology-for-pttep-391078.shtml","https://www.pttep.com/en/Sustainability/Carbon-Capture-And-Storage.aspx?mode=print",,,,,"Link 1","Link 2","Link 3","","","",""
"Arun CCS",37,"Indonesia","Carbon Aceh, PEMA (JV)","Storage",2022,,2029,,"Planned",,,,"Storage","Dedicated storage","Arun CCS","Other Asia Pacific","https://www.upstreamonline.com/energy-transition/reinvigorating-indonesian-giant-as-ccs-project/2-1-1190849","https://www.carbonaceh.com/press-release-1","https://acnf.jp/program/file/presentation/7_Panelist_MEMR-IDN.pdf",,,,,"Link 1","Link 2","Link 3","","","",""
"Ascension Clean Energy (ACE) complex (LA)",484,"United States","Clean Hydrogen Works (Joint venture between Denbury Carbon Solutions (ExxonMobil) (T&S), Hafnia (ammonia export), MOL (shipping))","Capture",2022,2024,2027,,"Planned",,12,12,"Hydrogen or ammonia","Dedicated storage","Denbury Green pipeline /Gemini (LA)","North America","https://www.cleanhydrogenworks.com/_files/ugd/9b794f_71f2bbea67dc4ebb8ab789194a19132a.pdf",,,,,,,"Link 1","","","","","",""
